candidate_id,name_tr,name_en,category_tr,target_state,catalog_action,existing_catalog_food_id,supabase_food_id,source,source_id,official_fdc_id,official_description,data_type,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g,default_portion_label_tr,default_portion_label_en,default_portion_grams,review_status,source_verification_status,portion_verification_status,nutrient_completeness_status,import_note
wl_012,Espresso,Espresso,İçecek,plain,add_new_food_variant,,1884,USDA_SR_LEGACY,171891,171891,"Beverages, coffee, brewed, espresso, restaurant-prepared",sr_legacy_food,9.0,0.12,1.67,0.18,0,0,14,100 Gram,100 g,100.0,import_ready_review_only,officially_verified,approved_100g_only,complete,No write applied. Add as a distinct food variant.
wl_021,Tam Yağlı Süt,Whole milk,Süt Ürünleri,whole milk,update_exact_existing_food,10,5116,USDA_FOUNDATION,322892,322892,"Milk, whole, 3.25% milkfat, with added vitamin D",foundation_food,60.0,3.28,4.67,3.2,,4.81,38,1 bardak,1 cup,229.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,partial_null_allowed_after_official_review,No write applied. Exact existing record update.
wl_022,Yarım Yağlı Süt,Reduced-fat milk,Süt Ürünleri,reduced fat,update_exact_existing_food,171,5509,USDA_FOUNDATION,321359,321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",foundation_food,50.0,3.35,4.91,1.9,,4.89,39,1 bardak,1 cup,227.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,partial_null_allowed_after_official_review,No write applied. Exact existing record update.
wl_023,Yağsız Süt,Skim milk,Süt Ürünleri,skim milk,add_new_food_variant,,5652,USDA_FOUNDATION,322559,322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",foundation_food,34.0,3.43,4.89,0.08,,5.05,41,1 bardak,1 cup,229.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,partial_null_allowed_after_official_review,No write applied. Add as a distinct food variant.
wl_031,Portakal Suyu,Orange juice,İçecek,100% juice,add_new_food_variant,,4646,USDA_SR_LEGACY,169098,169098,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,45.0,0.7,10.4,0.2,0.2,8.4,1,1 bardak,1 cup,248.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,complete,No write applied. Add as a distinct food variant.
wl_078,Limon Suyu (Sıkma),Fresh lemon juice,İçecek,raw,add_new_food_variant,,4035,USDA_SR_LEGACY,167747,167747,"Lemon juice, raw",sr_legacy_food,22.0,0.35,6.9,0.24,0.3,2.52,1,1 limondan elde edilen meyve suyu,1 lemon yields,48.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,complete,No write applied. Add as a distinct food variant.
wl_111,Yaban Mersini,Blueberries,Meyve,raw,add_new_food_variant,,6425,USDA_FOUNDATION,2263889,2263889,"Blueberries, raw",foundation_food,63.8563,0.703125,14.571775,0.3063,,9.356,0,100 Gram,100 g,100.0,import_ready_review_only,officially_verified,approved_100g_only,partial_null_allowed_after_official_review,No write applied. Add as a distinct food variant.
wl_112,Ahududu,Raspberries,Meyve,raw,update_exact_existing_food,146,5990,USDA_FOUNDATION,2263888,2263888,"Raspberries, raw",foundation_food,57.3375,1.008125,12.904375,0.1875,,2.6759,0,100 Gram,100 g,100.0,import_ready_review_only,officially_verified,approved_100g_only,partial_null_allowed_after_official_review,No write applied. Exact existing record update.
wl_113,Böğürtlen,Blackberries,Meyve,raw,update_exact_existing_food,145,6464,USDA_SR_LEGACY,173946,173946,"Blackberries, raw",sr_legacy_food,43.0,1.39,9.61,0.49,5.3,4.88,1,1 bardak,1 cup,144.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,complete,No write applied. Exact existing record update.
wl_114,Misket Limonu,Lime,Meyve,raw,add_new_food_variant,,4028,USDA_SR_LEGACY,168155,168155,"Limes, raw",sr_legacy_food,30.0,0.7,10.54,0.2,2.8,1.69,2,"1 adet misket limonu (yaklaşık 5,1 cm çap)","1 fruit (2"" dia)",67.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,complete,No write applied. Add as a distinct food variant.
wl_115,Trabzon Hurması,Persimmon,Meyve,raw,add_new_food_variant,,6168,USDA_SR_LEGACY,169941,169941,"Persimmons, japanese, raw",sr_legacy_food,70.0,0.58,18.59,0.19,3.6,12.53,1,"1 adet Trabzon hurması (yaklaşık 6,4 cm çap)","1 fruit (2-1/2"" dia)",168.0,import_ready_review_only,officially_verified,approved_user_friendly_portion,complete,No write applied. Add as a distinct food variant.
