candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_004,Türk Çayı (Şekersiz),Black tea unsweetened,İçecek,unsweetened,USDA,true,38,Türk Çayı (Şekersiz),exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_010,Türk Kahvesi (Sade),Turkish coffee unsweetened,İçecek,unsweetened,USDA,true,39,Türk Kahvesi (Sade),exact,wrong_or_weak_match,1262,Brewed Coffee,2,0.3,0.17,0,0,0,1,19.2857,false,false,true,,,manual_review_existing_food,Kültüre özgü hazırlık ile jenerik USDA adayı uyuşmuyor. Mevcut katalog girdisi var (Türk Kahvesi (Sade)).
wl_020,Kefir,Kefir plain,İçecek,plain,USDA,true,95,Kefir,exact,no_source_match,,,,,,,,,,,,,,,,manual_review_existing_food,Katalogda mevcut; USDA adayı yok veya zayıf. Manuel doğrulama gerekli.
wl_021,Tam Yağlı Süt,Whole milk,İçecek,whole milk,USDA,true,10,Tam Yağlı Süt,exact,can_update_from_usda,5123,Whole Milk,64,3.28,4.65,3.66,0,0,49,85,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Tam Yağlı Süt) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_022,Yarım Yağlı Süt,Reduced-fat milk,İçecek,reduced fat,USDA,true,171,Yarım Yağlı Süt,exact,can_update_from_usda,5509,Reduced-Fat Milk,50,3.35,4.91,1.9,0,0,39,77.8571,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Yarım Yağlı Süt) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_112,Ahududu,Raspberries,Meyve,raw,USDA,true,146,Ahududu,medium,can_update_from_usda,5990,"Raspberries, Raw",57.3375,1.0081,12.9044,0.1875,0,0,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Ahududu) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_113,Böğürtlen,Blackberries,Meyve,raw,USDA,true,145,Böğürtlen,medium,wrong_or_weak_match,6464,Raw Blackberry,43,1.39,9.61,0.49,5.3,4.88,1,35,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Böğürtlen) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_121,Ananas,Pineapple,Meyve,raw,USDA,true,61,Ananas,medium,can_update_from_usda,5998,Raw Pineapple,50,0.54,13.12,0.12,1.4,9.85,1,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Ananas) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_122,Mango,Mango,Meyve,raw,USDA,true,148,Mango,medium,can_update_from_usda,6353,"Ataulfo Mango, Raw, Peeled",78.4665,0.6875,17.3962,0.6813,1.289,0,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Mango) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_123,Avokado,Avocado,Meyve,raw,USDA,true,13,Avokado,medium,can_update_from_usda,6009,"Avocado, Raw",160,2,8.53,14.66,6.7,0.66,7,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Avokado) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_124,Greyfurt,Grapefruit,Meyve,raw,USDA,true,64,Greyfurt,medium,can_update_from_usda,534,White Grapefruit,32,0.63,8.19,0.1,0,0,0,88.5,false,true,true,"Aday, istenen jenerik gıdadan daha özel bir varyant olabilir.",,manual_review_existing_food,"Mevcut gıda; USDA adayı yakın ancak varyant uyarısı: Aday, istenen jenerik gıdadan daha özel bir varyant olabilir."
wl_125,Mandalina,Mandarin,Meyve,raw,USDA,true,50,Mandalina,medium,can_update_from_usda,6357,"Mandarin, Raw, Peeled, Seedless",61.9623,1.0394,13.4218,0.4575,1.328,0,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Mandalina) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_126,Ayva,Quince,Meyve,raw,USDA,true,142,Ayva,medium,can_update_from_usda,109,"Quince, Raw",57,0.4,15.3,0.1,1.9,0,4,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Ayva) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_127,Dut,Mulberry,Meyve,raw,USDA,true,147,Dut (Taze),strong,wrong_or_weak_match,1799,"Mulberries, Raw",43,1.44,9.8,0.39,1.7,8.1,10,35,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Dut (Taze)) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_128,Kuru Üzüm,Raisins,Meyve,dried,USDA,true,151,Kuru Üzüm,exact,can_update_from_usda,5889,Seeded Raisins,296,2.52,78.47,0.54,6.8,0,28,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Kuru Üzüm) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_130,Hurma,Dates,Meyve,dried,USDA,true,63,Hurma (Medjool),medium,can_update_from_usda,1260,Deglet Noor Dates,282,2.45,75.03,0.39,8,63.35,2,63.5,false,true,true,,,manual_review_existing_food,Mevcut gıda; USDA eşleşmesi tam kesin değil — elle kontrol gerekli.
wl_131,Kavun,Melon,Meyve,raw,USDA,true,54,Kavun,medium,can_update_from_usda,6201,"Cantaloupe Melon, Raw",34,0.82,8.16,0.18,0.8,0,30,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Kavun) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_132,Kiraz,Cherries,Meyve,raw,USDA,true,56,Kiraz,medium,can_update_from_usda,6370,"Sweet Cherries, Raw",70.5425,1.0394,16.1631,0.1925,0,0,0,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Kiraz) ile USDA eşleşmesi onaylandı; güncelleme adayı.
wl_133,Vişne,Sour cherries,Meyve,raw,USDA,true,144,Vişne,medium,can_update_from_usda,5460,"Sour Cherries, Raw",50,1,12.18,0.3,1.6,8.49,3,88.5,true,true,true,,,approved_existing_food_update,Mevcut katalog girdisi (Vişne) ile USDA eşleşmesi onaylandı; güncelleme adayı.
