candidate_id,name_tr,catalog_action,existing_catalog_food_id,final_catalog_food_id,final_slug,old_name,new_name,old_serving_label,old_serving_grams,official_portion_label,official_portion_grams,default_portion_action,nutrition_action,source_id,official_fdc_id,validation_status,validation_note
wl_012,Espresso,add_new_food_variant,,241,espresso,,Espresso,,,100 Gram,100,approved_100g_only,usda_scaled_to_official_default_portion,171891,171891,import_ready_review_only,Official CSV add_new_food_variant
wl_021,Tam Yağlı Süt,update_exact_existing_food,10,10,tam_yagli_sut,Tam Yağlı Süt,Tam Yağlı Süt,1 Su Bardağı,200,1 Bardak,229,local_existing_portion,usda_calories_scaled_to_existing_serving,322892,322892,import_ready_review_only,Official CSV update_exact_existing_food. USDA calories 120; Atwater 121 not used.
wl_022,Yarım Yağlı Süt,update_exact_existing_food,171,171,yarim_yagli_sut,Yarım Yağlı Süt,Yarım Yağlı Süt,1 Bardak,240,1 Bardak,227,local_existing_portion,usda_calories_scaled_to_existing_serving,321359,321359,import_ready_review_only,Official CSV update_exact_existing_food. USDA calories 120; Atwater 120 not used.
wl_023,Yağsız Süt,add_new_food_variant,,242,yagsiz_sut,,Yağsız Süt,,,1 Bardak,229,approved_user_friendly_portion,usda_scaled_to_official_default_portion,322559,322559,import_ready_review_only,Official CSV add_new_food_variant
wl_031,Portakal Suyu,add_new_food_variant,,243,portakal_suyu,,Portakal Suyu,,,1 Bardak,248,approved_user_friendly_portion,usda_scaled_to_official_default_portion,169098,169098,import_ready_review_only,Official CSV add_new_food_variant
wl_078,Limon Suyu (Sıkma),add_new_food_variant,,244,limon_suyu_sikma,,Limon Suyu (Sıkma),,,1 Limondan Elde Edilen Meyve Suyu,48,approved_user_friendly_portion,usda_scaled_to_official_default_portion,167747,167747,import_ready_review_only,Official CSV add_new_food_variant
wl_111,Yaban Mersini,add_new_food_variant,,245,yaban_mersini,,Yaban Mersini,,,100 Gram,100,approved_100g_only,usda_scaled_to_official_default_portion,2263889,2263889,import_ready_review_only,Official CSV add_new_food_variant
wl_112,Ahududu,update_exact_existing_food,146,146,ahududu,Ahududu,Ahududu,1 Kase,100,100 Gram,100,local_existing_portion,usda_calories_scaled_to_existing_serving,2263888,2263888,import_ready_review_only,Official CSV update_exact_existing_food. USDA calories 57.3375; Atwater 57 not used.
wl_113,Böğürtlen,update_exact_existing_food,145,145,bogurtlen,Böğürtlen,Böğürtlen,1 Kase,100,1 Bardak,144,local_existing_portion,usda_calories_scaled_to_existing_serving,173946,173946,import_ready_review_only,Official CSV update_exact_existing_food. USDA calories 43; Atwater 48 not used.
wl_114,Misket Limonu,add_new_food_variant,,246,misket_limonu,,Misket Limonu,,,"1 Adet Misket Limonu (yaklaşık 5,1 Cm Çap)",67,approved_user_friendly_portion,usda_scaled_to_official_default_portion,168155,168155,import_ready_review_only,Official CSV add_new_food_variant
wl_115,Trabzon Hurması,add_new_food_variant,,247,trabzon_hurmasi,,Trabzon Hurması,,,"1 Adet Trabzon Hurması (yaklaşık 6,4 Cm Çap)",168,approved_user_friendly_portion,usda_scaled_to_official_default_portion,169941,169941,import_ready_review_only,Official CSV add_new_food_variant
wl_116,Çarkıfelek,add_new_food_variant,,248,carkifelek,,Çarkıfelek,,,1 Bardak,236,approved_user_friendly_portion,usda_scaled_to_official_default_portion,169108,169108,import_ready_review_only,Official CSV add_new_food_variant
