candidate_id,final_catalog_food_id,catalog_action,existing_default_portion_label,existing_default_portion_grams,usda_portion_label,usda_portion_grams,merged_default_portion_label,merged_default_portion_grams,default_portion_action,additional_portion_label,additional_portion_grams,additional_portion_source,portion_source,portion_merge_note
wl_012,241,add_new_food_variant,,,100 Gram,100,100 Gram,100,approved_100g_only,,,,source_verified_usda,Official approved_100g_only — default is 100 Gram only.
wl_021,10,update_exact_existing_food,1 Su Bardağı,200,1 Bardak,229,1 Su Bardağı,200,local_existing_portion,1 Bardak,229,source_verified_usda,local_existing_portion + source_verified_usda,Existing default serving preserved; official USDA portion added as additional option.
wl_022,171,update_exact_existing_food,1 Bardak,240,1 Bardak,227,1 Bardak,240,local_existing_portion,1 Bardak,227,source_verified_usda,local_existing_portion + source_verified_usda,Existing default serving preserved; official USDA portion added as additional option.
wl_023,242,add_new_food_variant,,,1 Bardak,229,1 Bardak,229,approved_user_friendly_portion,,,,source_verified_usda,Official approved_user_friendly_portion used as default.
wl_031,243,add_new_food_variant,,,1 Bardak,248,1 Bardak,248,approved_user_friendly_portion,,,,source_verified_usda,Official approved_user_friendly_portion used as default.
wl_078,244,add_new_food_variant,,,1 Limondan Elde Edilen Meyve Suyu,48,1 Limondan Elde Edilen Meyve Suyu,48,approved_user_friendly_portion,,,,source_verified_usda,Official approved_user_friendly_portion used as default.
wl_111,245,add_new_food_variant,,,100 Gram,100,100 Gram,100,approved_100g_only,,,,source_verified_usda,Official approved_100g_only — default is 100 Gram only.
wl_112,146,update_exact_existing_food,1 Kase,100,100 Gram,100,1 Kase,100,local_existing_portion,100 Gram,100,source_verified_usda,local_existing_portion + source_verified_usda,Existing default serving preserved; official USDA portion added as additional option.
wl_113,145,update_exact_existing_food,1 Kase,100,1 Bardak,144,1 Kase,100,local_existing_portion,1 Bardak,144,source_verified_usda,local_existing_portion + source_verified_usda,Existing default serving preserved; official USDA portion added as additional option.
wl_114,246,add_new_food_variant,,,"1 Adet Misket Limonu (yaklaşık 5,1 Cm Çap)",67,"1 Adet Misket Limonu (yaklaşık 5,1 Cm Çap)",67,approved_user_friendly_portion,,,,source_verified_usda,Official approved_user_friendly_portion used as default.
